transaction_id,date,customer_id,age_group,gender,region,income_bracket,category_l1,category_l2,category_l3,retailer,brand,product_name,quantity,price
39,2024-05-16,C6354,45-54,Non-binary,Northeast,$25k-$49k,Apparel & Accessories,Clothing,Tops,Best Buy,North Face,North Face V-Neck Tee,2,261.14
40,2024-04-07,C1312,25-34,Non-binary,Southeast,$75k-$99k,Electronics,Mobile Devices,Smartwatches,Best Buy,Samsung,Samsung Garmin,1,250.0
41,2024-09-22,C4320,18-24,Non-binary,Midwest,$50k-$74k,Apparel & Accessories,Clothing,Dresses,The Home Depot,Coach,Coach Cocktail Dress,1,242.45
42,2024-10-15,C7035,55-64,Male,Midwest,$100k-$149k,Electronics,Mobile Devices,Smartphones,Target,Bose,Bose OnePlus 12,1,1442.96
43,2024-06-12,C2979,35-44,Male,Southwest,$50k-$74k,Home & Garden,Decor,Rugs,Walmart,Traeger,Traeger Bath Mat,2,479.75
44,2024-04-14,C4415,25-34,Male,West,$150k+,Electronics,Computers,Laptops,Best Buy,Apple,Apple MacBook Air,1,584.53
45,2024-07-21,C5114,55-64,Male,Southwest,$100k-$149k,Electronics,Audio,Speakers,Target,Apple,Apple Echo Studio,1,1088.42
46,2024-11-18,C5550,45-54,Female,West,$25k-$49k,Apparel & Accessories,Shoes,Casual,Dicks,North Face,North Face Slip-on Sneakers,2,99.12
47,2024-09-19,C9729,65+,Female,Southwest,$100k-$149k,Electronics,Mobile Devices,Smartphones,Dicks,Bose,Bose OnePlus 12,3,424.13
48,2024-04-12,C1953,55-64,Male,Southeast,$50k-$74k,Apparel & Accessories,Shoes,Formal,Dicks,Adidas,Adidas Heels,3,28.23
49,2024-04-26,C3264,18-24,Female,Southeast,$100k-$149k,Electronics,Mobile Devices,Smartwatches,Dicks,Sony,Sony Fitbit Sense,2,1116.42
50,2024-01-26,C5409,18-24,Female,Northeast,$25k-$49k,Apparel & Accessories,Accessories,Bags,Best Buy,Adidas,Adidas Duffel Bag,3,70.53
51,2024-03-23,C5540,55-64,Female,Southeast,$150k+,Home & Garden,Decor,Rugs,Lowes,Ashley,Ashley Bath Mat,1,942.77
52,2024-05-26,C3185,25-34,Female,Southwest,$100k-$149k,Electronics,Audio,Headphones,The Home Depot,Samsung,Samsung AirPods Pro,2,855.72
53,2024-12-30,C3221,35-44,Female,West,$150k+,Home & Garden,Furniture,Living Room,Best Buy,Weber,Weber Coffee Table,1,428.82
54,2024-01-19,C2710,45-54,Non-binary,West,$75k-$99k,Electronics,Computers,Laptops,The Home Depot,Sony,Sony Chromebook,2,1317.89
55,2024-11-25,C1039,25-34,Male,West,$75k-$99k,Electronics,Audio,Speakers,The Home Depot,Bose,Bose Sonos One,2,463.16
56,2024-10-13,C1205,45-54,Female,Southeast,$75k-$99k,Electronics,Audio,Headphones,Target,Bose,Bose QC45,2,1470.48
57,2024-04-23,C4561,25-34,Non-binary,Midwest,$150k+,Apparel & Accessories,Accessories,Watches,Dicks,North Face,North Face Smartwatch,2,209.5
58,2024-11-15,C8134,25-34,Male,Southwest,$100k-$149k,Apparel & Accessories,Shoes,Casual,Dicks,Cole Haan,Cole Haan Sandals,2,28.33
59,2024-01-05,C6949,55-64,Non-binary,Midwest,$75k-$99k,Home & Garden,Decor,Wall Art,Lowes,Traeger,Traeger Canvas Print,1,797.79
60,2024-01-06,C3948,45-54,Non-binary,Southwest,$100k-$149k,Home & Garden,Decor,Rugs,Dicks,Ashley,Ashley Runner,2,658.12
61,2024-02-10,C1711,35-44,Non-binary,Northeast,$50k-$74k,Apparel & Accessories,Shoes,Formal,Target,North Face,North Face Loafers,3,56.36
62,2024-11-14,C8655,65+,Male,West,$100k-$149k,Apparel & Accessories,Shoes,Formal,Dicks,Nike,Nike Oxford Shoes,1,181.06
63,2024-02-25,C6726,25-34,Male,Southwest,$100k-$149k,Home & Garden,Decor,Rugs,Best Buy,Nexgrill,Nexgrill Area Rug,3,655.01
64,2024-06-15,C5941,18-24,Female,Southwest,$50k-$74k,Electronics,Computers,Laptops,Best Buy,Dell,Dell MacBook Air,2,702.92
65,2024-10-28,C9322,35-44,Female,Midwest,$25k-$49k,Apparel & Accessories,Accessories,Jewelry,Target,Nike,Nike Silver Necklace,3,62.1
66,2024-05-01,C5598,45-54,Non-binary,Northeast,$100k-$149k,Electronics,Computers,Laptops,Dicks,Bose,Bose XPS 13,1,725.72
67,2024-07-22,C8204,18-24,Non-binary,Midwest,$150k+,Apparel & Accessories,Clothing,Dresses,Best Buy,Coach,Coach Wrap Dress,2,153.39
68,2024-03-05,C6160,35-44,Male,West,$75k-$99k,Electronics,Audio,Headphones,Lowes,Dell,Dell Buds Pro,3,543.77
69,2024-02-18,C2151,35-44,Female,Northeast,$50k-$74k,Home & Garden,Appliances,Kitchen,Dicks,Ashley,Ashley Refrigerator,3,630.82
70,2024-05-16,C7345,18-24,Non-binary,Southeast,$100k-$149k,Apparel & Accessories,Shoes,Athletic,Walmart,Cole Haan,Cole Haan Basketball Shoes,2,119.38
71,2024-07-05,C7223,25-34,Female,Northeast,$25k-$49k,Electronics,Audio,Headphones,Lowes,Sony,Sony WH-1000XM5,1,338.46
72,2024-08-05,C9493,35-44,Female,Midwest,$100k-$149k,Home & Garden,Decor,Wall Art,Lowes,Scotts,Scotts Canvas Print,1,280.54
73,2024-03-06,C5992,65+,Male,Southeast,$25k-$49k,Electronics,Mobile Devices,Smartphones,Lowes,Samsung,Samsung iPhone 15,3,491.91
74,2024-08-09,C3052,55-64,Female,Southwest,$50k-$74k,Apparel & Accessories,Accessories,Watches,Dicks,Coach,Coach Chronograph Watch,3,143.35
75,2024-05-31,C1581,18-24,Non-binary,Southwest,$75k-$99k,Apparel & Accessories,Shoes,Athletic,Target,Adidas,Adidas Running Shoes,2,67.26
76,2024-08-05,C1177,25-34,Non-binary,Northeast,$25k-$49k,Home & Garden,Decor,Lighting,Target,Nexgrill,Nexgrill Table Lamp,2,89.37
77,2024-03-28,C1418,65+,Non-binary,Northeast,$25k-$49k,Electronics,Computers,Desktops,Target,Bose,Bose Workstation,3,1171.19
78,2024-06-07,C2690,25-34,Female,Northeast,$150k+,Electronics,Computers,Laptops,Best Buy,Apple,Apple Chromebook,2,1294.66
79,2024-08-24,C4099,25-34,Male,Northeast,$100k-$149k,Home & Garden,Decor,Rugs,The Home Depot,Weber,Weber Bath Mat,3,609.87
80,2024-09-17,C7366,45-54,Male,Southwest,$25k-$49k,Home & Garden,Decor,Lighting,Dicks,Ashley,Ashley Table Lamp,3,379.14
81,2024-11-09,C1548,55-64,Female,Northeast,$75k-$99k,Electronics,Audio,Speakers,Dicks,Apple,Apple Sonos One,1,1335.25
82,2024-03-11,C2300,55-64,Non-binary,Northeast,$50k-$74k,Home & Garden,Furniture,Bedroom,Walmart,Scotts,Scotts Nightstand,1,767.56
83,2024-04-30,C3356,55-64,Male,Southwest,$50k-$74k,Home & Garden,Appliances,Kitchen,Target,Nexgrill,Nexgrill Gas Range,3,291.76
84,2024-08-18,C5091,25-34,Male,Southeast,$100k-$149k,Apparel & Accessories,Clothing,Bottoms,Target,North Face,North Face Yoga Pants,1,176.57
85,2024-05-08,C6643,55-64,Male,Midwest,$25k-$49k,Apparel & Accessories,Shoes,Formal,Dicks,Nike,Nike Loafers,1,257.66
86,2024-01-15,C6465,65+,Female,Southeast,$25k-$49k,Apparel & Accessories,Clothing,Outerwear,Target,North Face,North Face Rain Jacket,3,112.17
87,2024-06-19,C4345,65+,Female,Northeast,$25k-$49k,Home & Garden,Decor,Rugs,Dicks,Traeger,Traeger Bath Mat,3,292.58
88,2024-01-01,C7695,18-24,Non-binary,Northeast,$75k-$99k,Electronics,Audio,Headphones,The Home Depot,Samsung,Samsung WH-1000XM5,3,1260.08
89,2024-02-13,C7112,18-24,Male,Southwest,$25k-$49k,Apparel & Accessories,Shoes,Formal,Walmart,Adidas,Adidas Heels,2,297.23
90,2024-03-20,C2491,18-24,Non-binary,Midwest,$75k-$99k,Electronics,Audio,Headphones,Lowes,Apple,Apple AirPods Pro,1,401.5
91,2024-10-08,C3195,18-24,Female,West,$100k-$149k,Apparel & Accessories,Accessories,Jewelry,The Home Depot,Nike,Nike Diamond Earrings,1,249.35
92,2024-05-13,C5423,18-24,Non-binary,Southwest,$100k-$149k,Home & Garden,Decor,Lighting,Walmart,Weber,Weber Floor Lamp,1,886.96
93,2024-02-10,C7030,18-24,Female,Midwest,$25k-$49k,Electronics,Mobile Devices,Smartwatches,The Home Depot,Samsung,Samsung Galaxy Watch,1,965.3
94,2024-02-09,C1757,65+,Male,Southeast,$100k-$149k,Apparel & Accessories,Shoes,Athletic,Target,North Face,North Face Basketball Shoes,1,74.92
95,2024-01-14,C9525,35-44,Non-binary,Northeast,$75k-$99k,Electronics,Computers,Desktops,The Home Depot,Dell,Dell iMac,3,1168.45
96,2024-11-28,C1539,35-44,Male,Southwest,$25k-$49k,Electronics,Mobile Devices,Smartphones,The Home Depot,Samsung,Samsung Pixel 8,1,513.3
97,2024-12-04,C9651,35-44,Male,Southwest,$50k-$74k,Home & Garden,Furniture,Dining Room,Best Buy,Traeger,Traeger Buffet,2,548.37
98,2024-08-21,C4358,45-54,Male,West,$75k-$99k,Home & Garden,Decor,Wall Art,The Home Depot,Ashley,Ashley Metal Wall Art,2,888.42
99,2024-12-23,C7041,18-24,Non-binary,Midwest,$50k-$74k,Home & Garden,Appliances,Laundry,Best Buy,Ashley,Ashley Dryer,2,317.65
100,2024-06-24,C8363,65+,Non-binary,Southeast,$25k-$49k,Home & Garden,Furniture,Bedroom,Best Buy,Ashley,Ashley Dresser,1,659.51
101,2024-02-21,C6529,65+,Female,West,$100k-$149k,Home & Garden,Decor,Lighting,Lowes,Weber,Weber Table Lamp,1,807.07
102,2024-04-23,C3255,25-34,Female,Southeast,$75k-$99k,Electronics,Mobile Devices,Smartphones,Best Buy,Apple,Apple iPhone 15,2,1076.75
103,2024-12-08,C8087,18-24,Male,Midwest,$150k+,Home & Garden,Decor,Rugs,Target,Ashley,Ashley Runner,2,891.69
104,2024-06-26,C4604,45-54,Non-binary,Southeast,$75k-$99k,Home & Garden,Furniture,Dining Room,The Home Depot,Ashley,Ashley Bar Stools,2,883.32
105,2024-06-14,C3107,35-44,Female,Southwest,$25k-$49k,Apparel & Accessories,Clothing,Outerwear,Lowes,Cole Haan,Cole Haan Fleece Pullover,3,238.78
106,2024-01-31,C1960,18-24,Female,Midwest,$50k-$74k,Home & Garden,Appliances,Kitchen,Dicks,Traeger,Traeger Refrigerator,1,986.46
107,2024-06-30,C9271,25-34,Female,West,$75k-$99k,Apparel & Accessories,Clothing,Bottoms,Best Buy,North Face,North Face Athletic Shorts,1,299.72
108,2024-03-10,C9404,18-24,Male,Southeast,$100k-$149k,Apparel & Accessories,Clothing,Bottoms,The Home Depot,Coach,Coach Yoga Pants,2,279.63
109,2024-05-19,C6161,18-24,Non-binary,Midwest,$100k-$149k,Electronics,Mobile Devices,Smartphones,The Home Depot,Dell,Dell Pixel 8,1,771.36
110,2024-08-17,C3091,18-24,Male,Northeast,$75k-$99k,Home & Garden,Furniture,Living Room,Target,Ashley,Ashley TV Stand,3,908.9
111,2024-12-23,C3014,65+,Non-binary,Northeast,$75k-$99k,Electronics,Computers,Tablets,The Home Depot,Bose,Bose iPad Pro,3,662.11
112,2024-12-22,C9678,55-64,Male,Southeast,$100k-$149k,Apparel & Accessories,Accessories,Watches,Walmart,Adidas,Adidas Dress Watch,2,211.15
113,2024-10-04,C3594,45-54,Male,West,$100k-$149k,Apparel & Accessories,Accessories,Bags,The Home Depot,Cole Haan,Cole Haan Duffel Bag,3,111.41
114,2024-04-25,C6455,65+,Male,West,$25k-$49k,Electronics,Audio,Headphones,Target,Apple,Apple AirPods Pro,3,293.92
115,2024-10-16,C6087,65+,Male,West,$50k-$74k,Electronics,Mobile Devices,Smartwatches,Target,Sony,Sony Fitbit Sense,1,498.81
116,2024-11-09,C8429,35-44,Non-binary,Northeast,$100k-$149k,Apparel & Accessories,Shoes,Casual,Dicks,North Face,North Face Slip-on Sneakers,1,139.75
117,2024-08-16,C2090,25-34,Non-binary,Midwest,$75k-$99k,Home & Garden,Appliances,Laundry,Target,Traeger,Traeger Washer,2,753.56
118,2024-01-24,C6113,65+,Female,Northeast,$25k-$49k,Apparel & Accessories,Clothing,Tops,Dicks,Cole Haan,Cole Haan Workout Shirt,2,275.91
119,2024-06-27,C2173,45-54,Male,Southeast,$150k+,Home & Garden,Furniture,Dining Room,Dicks,Weber,Weber Buffet,2,384.65
120,2024-11-25,C1592,65+,Female,Southeast,$25k-$49k,Apparel & Accessories,Accessories,Bags,The Home Depot,Nike,Nike Duffel Bag,1,49.35
121,2024-05-16,C8015,25-34,Male,Southeast,$150k+,Home & Garden,Furniture,Bedroom,Dicks,Ashley,Ashley Dresser,3,855.73
122,2024-07-31,C2342,55-64,Male,Midwest,$50k-$74k,Electronics,Audio,Headphones,Target,Bose,Bose AirPods Pro,1,1464.77
123,2024-06-14,C1944,25-34,Male,Midwest,$100k-$149k,Apparel & Accessories,Shoes,Athletic,Dicks,North Face,North Face Training Shoes,1,278.83
124,2024-04-21,C2915,55-64,Non-binary,Southwest,$50k-$74k,Apparel & Accessories,Clothing,Bottoms,Target,Nike,Nike Athletic Shorts,3,277.34
125,2024-10-31,C8972,55-64,Female,Northeast,$150k+,Apparel & Accessories,Accessories,Watches,Target,Coach,Coach Dress Watch,2,115.52
126,2024-05-21,C3730,45-54,Male,Southeast,$150k+,Electronics,Audio,Speakers,Dicks,Sony,Sony HomePod,1,694.06
127,2024-06-20,C8197,65+,Non-binary,Southwest,$75k-$99k,Electronics,Audio,Headphones,Lowes,Samsung,Samsung WH-1000XM5,2,1260.62
128,2024-08-28,C8036,25-34,Male,West,$150k+,Electronics,Mobile Devices,Smartphones,Walmart,Samsung,Samsung Pixel 8,3,417.65
129,2024-10-08,C3961,55-64,Non-binary,Northeast,$100k-$149k,Electronics,Mobile Devices,Smartphones,Walmart,Bose,Bose Galaxy S24,3,1316.15
130,2024-10-07,C8305,65+,Female,Southwest,$75k-$99k,Electronics,Audio,Headphones,Dicks,Samsung,Samsung WH-1000XM5,3,1413.69
131,2024-12-17,C1445,55-64,Male,Southwest,$75k-$99k,Home & Garden,Appliances,Kitchen,Lowes,Nexgrill,Nexgrill Gas Range,1,56.39
132,2024-12-04,C7387,65+,Non-binary,West,$150k+,Apparel & Accessories,Clothing,Bottoms,Best Buy,Nike,Nike Chino Pants,2,299.78
133,2024-05-24,C9221,55-64,Male,Southeast,$150k+,Apparel & Accessories,Accessories,Watches,Target,Cole Haan,Cole Haan Chronograph Watch,3,128.54
134,2024-04-13,C1731,45-54,Male,Northeast,$25k-$49k,Electronics,Computers,Desktops,Walmart,Sony,Sony Workstation,3,1242.39
135,2024-06-17,C3475,45-54,Male,West,$100k-$149k,Apparel & Accessories,Clothing,Dresses,Walmart,Adidas,Adidas Evening Gown,3,295.24
136,2024-03-07,C4767,18-24,Female,Southwest,$25k-$49k,Electronics,Computers,Laptops,Dicks,Apple,Apple Chromebook,3,1148.92
137,2024-09-29,C6639,18-24,Female,West,$25k-$49k,Electronics,Mobile Devices,Smartwatches,Target,Apple,Apple Garmin,3,298.16
138,2024-07-13,C4849,25-34,Female,Midwest,$100k-$149k,Home & Garden,Furniture,Dining Room,Walmart,Traeger,Traeger Dining Table,1,576.84
139,2024-04-10,C9689,25-34,Male,West,$50k-$74k,Apparel & Accessories,Shoes,Formal,Target,Cole Haan,Cole Haan Dress Boots,3,104.59
140,2024-08-02,C2529,55-64,Non-binary,Southeast,$50k-$74k,Electronics,Computers,Desktops,Lowes,Apple,Apple Gaming PC,1,286.09
141,2024-07-01,C3734,35-44,Male,Midwest,$100k-$149k,Home & Garden,Furniture,Living Room,Target,Traeger,Traeger TV Stand,3,970.4
142,2024-09-18,C6364,45-54,Male,Midwest,$150k+,Home & Garden,Furniture,Bedroom,Target,Traeger,Traeger Bed Frame,3,558.46
143,2024-08-22,C6430,45-54,Female,Northeast,$100k-$149k,Home & Garden,Appliances,Kitchen,Best Buy,Scotts,Scotts Microwave,2,635.37
144,2024-11-01,C9913,55-64,Male,Southwest,$150k+,Home & Garden,Decor,Rugs,Dicks,Nexgrill,Nexgrill Runner,1,410.25
145,2024-12-06,C5960,45-54,Non-binary,West,$100k-$149k,Apparel & Accessories,Clothing,Tops,Target,North Face,North Face Workout Shirt,2,194.08
146,2024-01-15,C7288,65+,Male,Northeast,$100k-$149k,Apparel & Accessories,Accessories,Bags,Target,Adidas,Adidas Duffel Bag,1,34.72
147,2024-06-18,C2099,35-44,Male,West,$25k-$49k,Home & Garden,Appliances,Kitchen,Target,Traeger,Traeger Microwave,2,391.15
148,2024-03-22,C7614,45-54,Non-binary,West,$50k-$74k,Electronics,Audio,Headphones,Lowes,Bose,Bose AirPods Pro,2,686.1
149,2024-07-28,C7291,45-54,Non-binary,Southwest,$25k-$49k,Electronics,Audio,Speakers,Lowes,Dell,Dell HomePod,2,1446.2
150,2024-09-17,C6616,55-64,Female,Northeast,$25k-$49k,Electronics,Audio,Speakers,Lowes,Sony,Sony HomePod,1,584.5
151,2024-06-05,C9128,35-44,Non-binary,Southeast,$75k-$99k,Apparel & Accessories,Shoes,Athletic,Best Buy,Adidas,Adidas Basketball Shoes,2,251.15
152,2024-06-06,C8084,45-54,Female,Midwest,$50k-$74k,Electronics,Computers,Tablets,The Home Depot,Sony,Sony Galaxy Tab,1,1018.23
153,2024-03-26,C6105,45-54,Male,Southeast,$150k+,Electronics,Computers,Desktops,Walmart,Apple,Apple Gaming PC,3,955.71
154,2024-02-07,C6251,55-64,Non-binary,Southeast,$50k-$74k,Electronics,Computers,Desktops,Walmart,Bose,Bose Workstation,3,864.41
155,2024-05-21,C2716,55-64,Non-binary,Midwest,$25k-$49k,Apparel & Accessories,Accessories,Watches,Target,Nike,Nike Sports Watch,3,74.51
156,2024-10-02,C8635,18-24,Male,West,$75k-$99k,Apparel & Accessories,Clothing,Bottoms,Walmart,Coach,Coach Slim Fit Jeans,1,204.62
157,2024-09-05,C7757,65+,Male,Southwest,$100k-$149k,Electronics,Audio,Headphones,Best Buy,Dell,Dell AirPods Pro,3,434.55
158,2024-11-09,C9500,55-64,Non-binary,West,$50k-$74k,Electronics,Computers,Desktops,Target,Dell,Dell Gaming PC,3,826.21
159,2024-04-18,C8316,55-64,Non-binary,West,$50k-$74k,Home & Garden,Furniture,Bedroom,Target,Ashley,Ashley Mattress,2,75.78
160,2024-10-02,C1613,25-34,Non-binary,Southeast,$100k-$149k,Apparel & Accessories,Shoes,Formal,Target,North Face,North Face Dress Boots,1,111.06
161,2024-10-17,C4835,35-44,Female,Southwest,$150k+,Electronics,Computers,Desktops,Walmart,Samsung,Samsung All-in-One,1,1090.87
162,2024-03-02,C4119,65+,Non-binary,Southwest,$25k-$49k,Home & Garden,Furniture,Living Room,Walmart,Ashley,Ashley Recliner,2,771.93
163,2024-12-10,C4544,65+,Female,Southeast,$100k-$149k,Apparel & Accessories,Accessories,Watches,Best Buy,Coach,Coach Sports Watch,2,221.3
164,2024-04-17,C6982,18-24,Non-binary,West,$50k-$74k,Electronics,Mobile Devices,Smartwatches,Walmart,Dell,Dell Fitbit Sense,3,674.04
165,2024-03-19,C3683,55-64,Male,Southeast,$25k-$49k,Apparel & Accessories,Clothing,Bottoms,The Home Depot,Cole Haan,Cole Haan Slim Fit Jeans,2,44.69
166,2024-01-27,C6092,65+,Male,West,$50k-$74k,Apparel & Accessories,Shoes,Athletic,Walmart,Coach,Coach Basketball Shoes,3,268.22
167,2024-11-17,C8997,65+,Non-binary,Southwest,$25k-$49k,Apparel & Accessories,Clothing,Tops,Target,Adidas,Adidas Workout Shirt,2,147.97
168,2024-05-17,C5854,45-54,Male,Southeast,$150k+,Electronics,Audio,Speakers,Best Buy,Dell,Dell Echo Studio,3,1496.28
169,2024-02-24,C2715,25-34,Non-binary,West,$75k-$99k,Home & Garden,Decor,Wall Art,Dicks,Traeger,Traeger Metal Wall Art,2,246.63
170,2024-03-14,C4272,55-64,Female,Northeast,$100k-$149k,Home & Garden,Appliances,Kitchen,Best Buy,Weber,Weber Refrigerator,3,590.89
171,2024-02-12,C9011,35-44,Non-binary,Southwest,$75k-$99k,Apparel & Accessories,Accessories,Bags,Dicks,Cole Haan,Cole Haan Backpack,1,164.82
172,2024-07-26,C6751,35-44,Male,Southwest,$150k+,Electronics,Computers,Tablets,Best Buy,Apple,Apple iPad Pro,2,273.47
173,2024-03-24,C4202,55-64,Female,Southwest,$50k-$74k,Apparel & Accessories,Clothing,Bottoms,The Home Depot,Cole Haan,Cole Haan Slim Fit Jeans,3,217.82
174,2024-07-27,C3193,65+,Male,Midwest,$75k-$99k,Home & Garden,Furniture,Dining Room,Walmart,Scotts,Scotts Buffet,2,193.22
175,2024-03-20,C2814,25-34,Female,Northeast,$50k-$74k,Electronics,Audio,Headphones,Lowes,Samsung,Samsung QC45,1,931.04
176,2024-12-20,C3168,25-34,Male,West,$150k+,Apparel & Accessories,Clothing,Tops,The Home Depot,Adidas,Adidas Running Tank,2,281.02
177,2024-08-28,C2151,55-64,Female,Northeast,$50k-$74k,Apparel & Accessories,Shoes,Casual,Target,Coach,Coach Sandals,2,51.23
178,2024-04-15,C7623,18-24,Non-binary,Midwest,$25k-$49k,Electronics,Computers,Laptops,The Home Depot,Sony,Sony XPS 13,2,477.36
179,2024-08-22,C1443,35-44,Non-binary,Southwest,$50k-$74k,Apparel & Accessories,Accessories,Jewelry,Walmart,Adidas,Adidas Silver Necklace,3,88.54
180,2024-12-26,C8581,25-34,Male,Southwest,$25k-$49k,Electronics,Mobile Devices,Smartphones,Walmart,Samsung,Samsung Galaxy S24,3,554.36
